2016-03-26 20:13:26,092 : INFO : Machine : Mission Pinball Framework v0.30.0.dev801
2016-03-26 20:13:26,092 : INFO : Machine : Loading config from original files
2016-03-26 20:13:26,183 : INFO : Machine : Machine config file #1: /Users/gabe/Dropbox/Pinball/Gabe/bnd/config/config
2016-03-26 20:13:26,330 : INFO : Machine : Config file cache created: /Users/gabe/Dropbox/Pinball/Gabe/bnd/__mpfcache__/config_config.p
2016-03-26 20:13:26,335 : INFO : FAST : Configuring FAST hardware.
2016-03-26 20:13:26,335 : INFO : Machine : Loading core modules...
2016-03-26 20:13:26,518 : INFO : FAST : Configuring FAST Controller for FAST IO boards.
2016-03-26 20:13:26,519 : INFO : FAST : Connecting to /dev/tty.usbserial-141C at 921600bps
2016-03-26 20:13:28,037 : INFO : FAST : Received ID acknowledgement. Processor: RGB, Board: FP-CPU-002-2, Firmware: 01.00
2016-03-26 20:13:28,038 : INFO : FAST : Connecting to /dev/tty.usbserial-141B at 921600bps
2016-03-26 20:13:29,557 : INFO : FAST : Received ID acknowledgement. Processor: NET, Board: FP-CPU-002-2, Firmware: 01.00
2016-03-26 20:13:29,573 : INFO : FAST : Fast IO Board 00: Model: FP-I/O-3208-2, Firmware: 01.00, Switches: 32, Drivers: 8
2016-03-26 20:13:29,590 : INFO : FAST : Fast IO Board 01: Model: FP-I/O-3208-2, Firmware: 01.00, Switches: 32, Drivers: 8
2016-03-26 20:13:29,605 : INFO : FAST : Fast IO Board 02: Model: FP-I/O-1616-2, Firmware: 01.00, Switches: 16, Drivers: 16
2016-03-26 20:13:29,691 : INFO : DeviceManager : Loading devices...
2016-03-26 20:13:29,742 : INFO : FAST : Received SA: 01,00,0B,00000400002D00001F0900
2016-03-26 20:13:29,756 : WARNING : BCPClientSocket.local_display : Failed to connect to remote BCP host localhost:5050. Error: [Errno 61] Connection refused
2016-03-26 20:13:29,757 : WARNING : BCPClientSocket.local_display : Failed to connect to remote BCP host localhost:5050. Error: [Errno 61] Connection refused
2016-03-26 20:13:29,758 : WARNING : BCPClientSocket.local_display : Failed to connect to remote BCP host localhost:5050. Error: [Errno 61] Connection refused
2016-03-26 20:13:29,758 : INFO : Machine : Loading plugins...
2016-03-26 20:13:29,774 : WARNING : BCPClientSocket.local_display : Failed to connect to remote BCP host localhost:5050. Error: [Errno 61] Connection refused
2016-03-26 20:13:29,775 : INFO : SwitchController : Dumping current active switches
2016-03-26 20:13:29,775 : INFO : SwitchController : Active Switch|s_troughenter
2016-03-26 20:13:29,775 : INFO : SwitchController : Active Switch|s_droptarget5
2016-03-26 20:13:29,775 : INFO : SwitchController : Active Switch|s_droptarget3
2016-03-26 20:13:29,775 : INFO : SwitchController : Active Switch|s_droptarget4
2016-03-26 20:13:29,775 : INFO : SwitchController : Active Switch|s_droptarget2
2016-03-26 20:13:29,776 : INFO : SwitchController : Active Switch|s_topkicker
2016-03-26 20:13:29,776 : INFO : SwitchController : Active Switch|s_droptarget1
2016-03-26 20:13:29,778 : INFO : FAST : Received SA: 01,00,0B,00000400002D00001F0900
2016-03-26 20:13:29,779 : INFO : Mode.attract : Mode Starting. Priority: 10
2016-03-26 20:13:29,780 : INFO : Mode Controller : +=========== ACTIVE MODES ============+
2016-03-26 20:13:29,780 : INFO : Mode Controller : | attract : 10                        |
2016-03-26 20:13:29,780 : INFO : Mode Controller : +-------------------------------------+
2016-03-26 20:13:29,855 : INFO : SwitchController : <<<<< switch: s_topkicker, State:0 >>>>>
2016-03-26 20:13:31,568 : INFO : SwitchController : <<<<< switch: s_rightlane, State:1 >>>>>
2016-03-26 20:13:31,627 : INFO : SwitchController : <<<<< switch: s_rightlane, State:0 >>>>>
2016-03-26 20:13:35,342 : INFO : SwitchController : <<<<< switch: s_spinner, State:1 >>>>>
2016-03-26 20:13:35,357 : INFO : SwitchController : <<<<< switch: s_spinner, State:0 >>>>>
2016-03-26 20:13:35,386 : INFO : SwitchController : <<<<< switch: s_spinner, State:1 >>>>>
2016-03-26 20:13:35,429 : INFO : SwitchController : <<<<< switch: s_spinner, State:0 >>>>>
2016-03-26 20:13:35,430 : INFO : SwitchController : <<<<< switch: s_spinner, State:1 >>>>>
2016-03-26 20:13:35,467 : INFO : SwitchController : <<<<< switch: s_spinner, State:0 >>>>>
2016-03-26 20:13:35,511 : INFO : SwitchController : <<<<< switch: s_spinner, State:1 >>>>>
2016-03-26 20:13:35,536 : INFO : SwitchController : <<<<< switch: s_spinner, State:0 >>>>>
2016-03-26 20:13:35,563 : INFO : SwitchController : <<<<< switch: s_spinner, State:1 >>>>>
2016-03-26 20:13:35,595 : INFO : SwitchController : <<<<< switch: s_spinner, State:0 >>>>>
2016-03-26 20:13:35,623 : INFO : SwitchController : <<<<< switch: s_spinner, State:1 >>>>>
2016-03-26 20:13:35,665 : INFO : SwitchController : <<<<< switch: s_spinner, State:0 >>>>>
2016-03-26 20:13:35,693 : INFO : SwitchController : <<<<< switch: s_spinner, State:1 >>>>>
2016-03-26 20:13:35,733 : INFO : SwitchController : <<<<< switch: s_spinner, State:0 >>>>>
2016-03-26 20:13:35,772 : INFO : SwitchController : <<<<< switch: s_spinner, State:1 >>>>>
2016-03-26 20:13:35,817 : INFO : SwitchController : <<<<< switch: s_spinner, State:0 >>>>>
2016-03-26 20:13:35,858 : INFO : SwitchController : <<<<< switch: s_spinner, State:1 >>>>>
2016-03-26 20:13:35,897 : INFO : SwitchController : <<<<< switch: s_spinner, State:0 >>>>>
2016-03-26 20:13:35,950 : INFO : SwitchController : <<<<< switch: s_spinner, State:1 >>>>>
2016-03-26 20:13:35,950 : INFO : SwitchController : <<<<< switch: s_toprightvuk, State:1 >>>>>
2016-03-26 20:13:35,992 : INFO : SwitchController : <<<<< switch: s_spinner, State:0 >>>>>
2016-03-26 20:13:36,046 : INFO : SwitchController : <<<<< switch: s_spinner, State:1 >>>>>
2016-03-26 20:13:36,090 : INFO : SwitchController : <<<<< switch: s_spinner, State:0 >>>>>
2016-03-26 20:13:36,158 : INFO : SwitchController : <<<<< switch: s_spinner, State:1 >>>>>
2016-03-26 20:13:36,217 : INFO : SwitchController : <<<<< switch: s_spinner, State:0 >>>>>
2016-03-26 20:13:36,284 : INFO : SwitchController : <<<<< switch: s_spinner, State:1 >>>>>
2016-03-26 20:13:36,382 : INFO : SwitchController : <<<<< switch: s_spinner, State:0 >>>>>
2016-03-26 20:13:36,466 : INFO : SwitchController : <<<<< switch: s_spinner, State:1 >>>>>
2016-03-26 20:13:36,495 : INFO : SwitchController : <<<<< switch: s_toprightvuk, State:0 >>>>>
2016-03-26 20:13:36,673 : INFO : SwitchController : <<<<< switch: s_spinner, State:0 >>>>>
